(
    (1013.3124843473395 -3139.877561660424 0)
    (1051.142269882423 -3161.7758008516876 0)
    (1089.8928749380461 -3181.999948822155 0)
    (1129.490261617983 -3200.5113647979197 0)
    (1169.858774143399 -3217.2746803945906 0)
    (1210.9212834027135 -3232.25786719303 0)
    (1252.5993343164532 -3245.4322979336707 0)
    (1294.8132957355306 -3256.7728012124903 0)
    (1337.4825125865507 -3266.2577095741362 0)
    (1380.5254599734594 -3273.868900910322 0)
    (1423.8598989410898 -3279.5918330843897 0)
    (1467.4030336030114 -3283.4155717158874 0)
    (1511.071669333468 -3285.3328110720768 0)
    (1554.782371721155 -3285.3398880264526 0)
    (1598.4516259811376 -3283.436789057604 0)
    (1641.9959965203325 -3279.6271502750524 0)
    (1685.3322863516846 -3273.918250472004 0)
    (1728.3776960524574 -3266.320997218304 0)
    (1771.049981962923 -3256.8499060201534 0)
    (1813.267613323204 -3245.5230725864135 0)
    (1854.9499280480222 -3232.3621382544807 0)
    (1896.017286841744 -3217.392248641796 0)
    (1936.3912253592503 -3200.6420056019815 0)
    (1975.9946041219227 -3182.1434125774153 0)
    (2014.7517559022995 -3161.9318134526293 0)
    (2052.588630295816 -3140.045825025384 0)
    (2089.4329352033983 -3116.5272632244296 0)
    (2125.214274954597 -3091.421063214919 0)
    (2159.8642848073505 -3064.7751935441365 0)
    (2193.316761567412 -3036.640564491566 0)
    (2225.5077900778633 -3007.0709307984075 0)
    (2256.375865337044 -2976.122788962398 0)
    (2285.862010011583 -2943.8552692941557 0)
    (2313.9098871199963 -2910.3300229413016 0)
    (2340.465907671565 -2875.611104096198 0)
    (2365.479333054828 -2839.764847612373 0)
    (2388.9023719800743 -2802.859742263456 0)
    (2410.690271790595 -2764.966299886774 0)
    (2430.8014039682603 -2726.156920661634 0)
    (2449.197343670026 -2686.5057547796923 0)
    (2465.8429431434197 -2646.088560771702 0)
    (2480.7063988807377 -2604.9825607613257 0)
    (2493.7593123836377 -2563.266292922579 0)
    (2504.976744422037 -2521.0194614227835 0)
    (2514.3372626836394 -2478.3227841377484 0)
    (2521.8229827230625 -2435.2578384301355 0)
    (2527.419602132314 -2391.9069052856667 0)
    (2531.1164278673386 -2348.3528121049667 0)
    (2532.9063966784206 -2304.6787744514177 0)
    (2532.7860886054104 -2260.9682370573782 0)
    (2530.755733511986 -2217.3047143925396 0)
    (2526.819210646471 -2173.7716310990545 0)
    (2520.984041230044 -2130.452162598277 0)
    (2513.2613740865 -2087.4290761736816 0)
    (2503.665964341022 -2044.7845728335712 0)
    (2492.2161452286664 -2002.6001302557374 0)
    (2478.933793066408 -1960.9563471141214 0)
    (2463.844285455696 -1919.9327890849286 0)
    (2446.9764527953603 -1879.6078368264189 0)
    (2428.3625231975084 -1840.0585362228117 0)
    (2408.0380609116787 -1801.3604511784572 0)
    (2386.0418983748714 -1763.5875192435037 0)
